STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,Reference area,MEASURE,Measure,UNIT_MEASURE,Unit of measure,TRANSFORMATION,Transformation,ADJUSTMENT,Adjustment,SEX,Sex,AGE,Age,ACTIVITY,Economic activity,FREQ,Frequency of observation,TIME_PERIOD,Time period,OBS_VALUE,Observation value,BASE_PER,Base period,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,DECIMALS,Decimals
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,FRA,France,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q3,,25.16628,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,ITA,Italy,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q1,,33.03474,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,ITA,Italy,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2025-Q4,,33.87882,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,ITA,Italy,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2025-Q3,,33.43234,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,ITA,Italy,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2025-Q2,,33.03328,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,ITA,Italy,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2025-Q1,,32.76319,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,ITA,Italy,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q4,,33.70279,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,ITA,Italy,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q3,,33.43621,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2024-Q1,,18.64741,,,,A,Normal value,0,Units,1,One
DATAFLOW,OECD.SDD.TPS:DSD_LFS@DF_IALFS_INDIC(1.0),Infra-annual labour statistics,I,JPN,Japan,OLF_WAP,Inactivity rate,PT_WAP_SUB,Percentage of working age population in the same subgroup,_Z,Not applicable,Y,Calendar and seasonally adjusted,_T,Total,Y15T64,From 15 to 64 years,_Z,Not applicable,Q,Quarterly,2025-Q4,,17.42098,,,,A,Normal value,0,Units,1,One
